Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,170448,Cassà de la Selva,921,3.658,722,862,3.256,961,1.783,6.914,1.683
2019,080497,Casserres,119,503,191,105,463,227,224,966,418
2019,080575,Castell de l'Areny,4,25,9,2,27,1,6,52,10
2019,259046,Castell de Mur,10,59,35,6,46,27,16,105,62
2019,250642,Castellar de la Ribera,17,35,15,10,39,18,27,74,33
2019,080522,Castellar de n'Hug,4,66,15,8,45,21,12,111,36
2019,080500,Castellar del Riu,14,59,21,13,43,19,27,102,40
2019,080517,Castellar del Vallès,2.123,8.092,1.733,1.921,8.126,2.192,4.044,16.218,3.925
2019,080538,Castellbell i el Vilar,260,1.277,326,283,1.126,375,543,2.403,701
2019,080543,Castellbisbal,1.147,4.325,766,1.119,4.143,890,2.266,8.468,1.656
2019,080556,Castellcir,68,273,51,69,240,51,137,513,102
2019,250674,Castelldans,57,347,107,59,270,120,116,617,227
2019,080569,Castelldefels,5.689,23.075,4.254,5.299,23.040,5.647,10.988,46.115,9.901
2019,080581,Castellet i la Gornal,173,796,211,171,698,243,344,1.494,454
2019,170464,Castellfollit de la Roca,79,304,110,55,277,136,134,581,246
2019,080608,Castellfollit de Riubregós,5,58,23,6,35,24,11,93,47
2019,080594,Castellfollit del Boix,39,144,39,33,130,51,72,274,90
2019,080615,Castellgalí,189,695,178,165,629,206,354,1.324,384
2019,080620,Castellnou de Bages,124,517,91,135,437,93,259,954,184
2019,250680,Castellnou de Seana,44,223,94,46,175,101,90,398,195
2019,170470,Castelló d'Empúries,858,3.703,947,860,3.514,1.024,1.718,7.217,1.971
2019,250693,Castelló de Farfanya,33,186,69,29,141,78,62,327,147
2019,080636,Castellolí,47,207,48,81,178,58,128,385,106
2019,170486,Castell-Platja d'Aro,838,3.558,961,779,3.615,1.109,1.617,7.173,2.070
2019,250707,Castellserà,58,325,123,61,274,162,119,599,285
2019,080641,Castellterçol,167,822,247,171,728,328,338,1.550,575
2019,430424,Castellvell del Camp,266,966,206,217,1.003,199,483,1.969,405
2019,080654,Castellví de la Marca,105,508,158,107,478,179,212,986,337
2019,080667,Castellví de Rosanes,139,670,122,159,632,162,298,1.302,284
2019,430430,"Catllar, el",395,1.577,337,355,1.471,316,750,3.048,653
